ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"167.86.74.155","elite","AS51167","DE","Contabo GmbH","15","Contabo GmbH","21966","socks4","5003","1","2023-08-27T07:50:35.247Z","41","1440","3538"
"110.74.208.153","elite","AS38901","KH","EZECOM limited","200","EZECOM limited","21776","socks4","5091","1","2023-08-27T07:50:35.235Z","85","2978","3510"
"103.79.96.201","elite","AS64308","ID","PT IndoDev Niaga Internet","187","PT IndoDev Niaga Internet","4153","socks4","3088","1","2023-08-27T07:50:35.233Z","100","3606","3610"
"217.115.115.252","elite","AS30900","IE","Sternforth Ltd. trading as WebWorld","101","Webworld","56792","socks5","5000","1","2023-08-27T07:50:35.245Z","95","3357","3541"
"202.162.197.155","elite","AS23679","ID","Media Antar Nusa PT.","211","Nusanet","5678","socks4","4403","1","2023-08-27T07:50:35.146Z","99","3458","3500"
"172.67.253.69","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","3409","1","2023-08-27T07:50:35.151Z","100","3566","3567"
"183.177.127.42","elite","AS55341","IN","51/A RACHNA MIDAS GOKULPETH","186","N/A","5678","socks4","4506","1","2023-08-27T07:50:28.655Z","53","1926","3627"
"92.45.51.214","elite","AS34984","DE","Superonline Iletisim Hizmetleri A.S.","97","Telekom19 Telekominikasyon Teknoloji Bilisim Hizmetleri Sanayi VE Ticaret Ltd.","1080","socks4","5491","1","2023-08-27T07:50:28.933Z","100","3569","3573"
"179.107.52.126","elite","AS263284","BR","Topmega Internet e Informática LTDA -ME","215","Topmega Internet e Informática LTDA -ME","4153","socks4","3590","1","2023-08-27T07:50:28.735Z","83","2952","3571"
"202.150.148.218","elite","AS23949","ID","PT Comtronics Systems","192","N/A","61924","socks4","4508","1","2023-08-27T07:50:28.648Z","98","3569","3626"
"119.148.45.185","elite","AS23923","BD","Agni Systems Limited","168","Agni Systems Ltd.","1088","socks4","5188","1","2023-08-27T07:50:23.545Z","93","3299","3544"
"43.153.12.45","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","149","Tencent Cloud Computing","443","socks4","4796","1","2023-08-27T07:50:23.441Z","74","2597","3523"
"178.128.21.246","elite","AS14061","SG","DigitalOcean, LLC","163","Digitalocean","56108","socks4","4697","1","2023-08-27T07:50:23.454Z","98","3487","3545"
"101.95.182.26","elite","AS4812","CN","China Telecom (Group)","189","Chinanet SH","5678","socks4","5091","2","2023-08-27T07:50:23.453Z","82","2946","3576"
"45.7.177.248","elite","AS266626","BR","Litoral Telecom","172","Litoral Telecom","39867","socks4","4986","1","2023-08-27T07:50:23.444Z","96","3398","3544"
"103.120.133.141","elite","AS38235","KH","Angkor Data Communication","184","Mekongnet PLN","5678","socks4","1903","1","2023-08-27T07:50:23.547Z","100","3477","3489"
"74.82.6.220","elite","AS36103","US","Hurricane Electric","192","Simi Offers LLC, EGIHosting","80","socks4","4904","1","2023-08-27T07:50:23.442Z","100","3584","3591"
"170.254.255.226","elite","AS52584","BR","Connect Fibra","296","Connect Fibra","45816","socks4","4287","2","2023-08-27T07:50:23.451Z","98","3549","3607"
"45.70.30.196","elite","AS267574","BR","Eltecweb Provedor De Internet Ltda","213","Eltecweb Provedor De Internet Ltda","5566","socks4","4389","1","2023-08-27T07:50:23.446Z","100","3562","3578"
"75.119.200.27","elite","AS26347","US","New Dream Network, LLC","196","New Dream Network, LLC","23456","socks4","4492","1","2023-08-27T07:50:23.452Z","100","3607","3607"
"197.254.7.86","elite","AS15808","KE","ACCESSKENYA","127","N/A","4145","socks4","147","1","2023-08-27T07:50:18.734Z","96","3474","3623"
"103.51.44.221","elite","AS133819","ID","CIM","198","N/A","4145","socks4","4994","1","2023-08-27T07:50:18.650Z","99","3573","3605"
"151.80.119.118","elite","AS16276","FR","OVH SAS","7","OVH SAS","1080","socks5","4801","1","2023-08-27T07:50:18.651Z","90","3181","3521"
"201.33.161.234","elite","AS53181","BR","K2 Telecom e Multimidia LTDA ME","195","K2 Telecom e Multimidia LTDA ME","4153","socks4","4411","1","2023-08-27T07:50:13.540Z","71","2493","3520"
"172.67.36.21","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4907","1","2023-08-27T07:50:13.549Z","100","3629","3629"
"160.202.41.194","elite","AS9341","ID","Jakarta 5 8 Iconpln","184","N/A","4153","socks4","4600","1","2023-08-27T07:50:13.543Z","98","3503","3566"
"154.66.108.52","elite","AS37642","LS","Comnet Pty Ltd","197","ISPClients","3629","socks4","3207","1","2023-08-27T07:50:13.546Z","97","3471","3568"
"188.119.103.157","elite","AS212238","NL","Datacamp Limited","10","Think Huge Ltd","45698","socks5","2596","1","2023-08-27T07:50:13.550Z","98","3407","3494"
"200.70.19.93","elite","AS10834","AR","Telefonica de Argentina","235","Telefonica de Argentina","4153","socks4","3401","1","2023-08-27T07:50:13.548Z","99","3485","3526"
"137.220.53.12","elite","AS20473","CA","The Constant Company","100","Vultr Holdings, LLC","10544","socks4","4010","1","2023-08-27T07:50:13.633Z","77","2714","3531"
"106.245.183.60","elite","AS3786","KR","LG DACOM Corporation","282","Boranet","4145","socks4","4989","1","2023-08-27T07:50:13.541Z","99","3559","3593"
"178.128.21.134","elite","AS14061","SG","DigitalOcean, LLC","189","Digitalocean","7497","socks5","5088","1","2023-08-27T07:50:13.648Z","85","3070","3625"
"179.107.51.4","elite","AS263284","BR","Topmega Internet e Informática LTDA -ME","278","Topmega Internet e Informática LTDA -ME","4145","socks4","4802","1","2023-08-27T07:50:13.537Z","99","3560","3598"
"149.28.13.113","elite","AS20473","US","The Constant Company","299","Vultr Holdings, LLC","10786","socks4","5095","1","2023-08-27T07:50:13.545Z","45","1557","3454"
"46.174.235.235","elite","AS15874","PL","Interkam Szczepanik Spolka Komandytowa","36","Interkam Szczepanik Spolka Komandytowa","5678","socks4","5194","1","2023-08-27T07:50:13.647Z","99","3502","3534"
"102.66.237.33","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","184","Herotel","5678","socks4","4901","1","2023-08-27T07:50:08.340Z","62","2231","3570"
"104.16.241.204","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks5","4694","1","2023-08-27T07:50:08.250Z","100","3499","3500"
"45.7.177.249","elite","AS266626","BR","Litoral Telecom","171","Litoral Telecom","39867","socks4","5096","1","2023-08-27T07:50:08.335Z","98","3555","3631"
"122.112.209.105","elite","AS55990","CN","Huawei Cloud Service data center","207","Huawei Cloud Service","55990","socks4","4399","1","2023-08-27T07:50:08.249Z","82","2883","3510"
"181.188.187.139","elite","AS27882","BO","Telefónica Celular de Bolivia S.A.","201","Telefónica Celular de Bolivia S.A","5678","socks4","4100","1","2023-08-27T07:50:08.337Z","95","3402","3570"
"58.49.185.12","elite","AS4134","CN","Chinanet","280","Chinanet HB","44844","socks4","5004","1","2023-08-27T07:50:08.334Z","82","2936","3594"
"95.38.95.40","elite","AS41881","IR","Fanava Group","105","Fanava Group","8085","socks5","5007","1","2023-08-27T07:50:08.338Z","40","1421","3517"
"79.125.195.102","elite","AS6821","MK","MAKTEL","82","N/A","5678","socks4","4992","1","2023-08-27T07:50:03.138Z","79","2802","3526"
"119.148.103.1","elite","AS18109","BD","Nasrin Sultana","195","N/A","4153","socks4","1589","1","2023-08-27T07:50:03.051Z","99","3549","3595"
